"الترتيب
","الرواية
","المؤلف
","البلد
"
"11
","المجوس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AC%D9%88%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","إبراهيم الكوني
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%83%D9%88%D9%86%D9%8A"")"," ليبيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7"")"
"12
","الوشم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%88%D8%B4%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","عبد الرحمن مجيد الربيعي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86_%D9%85%D8%AC%D9%8A%D8%AF_%D8%A7%D9%84%D8%B1%D8%A8%D9%8A%D8%B9%D9%8A"")"," العراق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82"")"
"13
","الرجع البعيد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D8%AC%D8%B9_%D8%A7%D9%84%D8%A8%D8%B9%D9%8A%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","فؤاد التكرلي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%81%D8%A4%D8%A7%D8%AF_%D8%A7%D9%84%D8%AA%D9%83%D8%B1%D9%84%D9%8A"")"," العراق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82"")"
"14
","الشراع والعاصفة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D8%B9_%D9%88%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%81%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","حنا مينه
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D9%86%D8%A7_%D9%85%D9%8A%D9%86%D9%87"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"15
","الزيني بركات
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B2%D9%8A%D9%86%D9%8A_%D8%A8%D8%B1%D9%83%D8%A7%D8%AA_(%D8%AA%D9%88%D8%B6%D9%8A%D8%AD)"")","جمال الغيطاني
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AC%D9%85%D8%A7%D9%84_%D8%A7%D9%84%D8%BA%D9%8A%D8%B7%D8%A7%D9%86%D9%8A"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"16
","ثلاثية 'سأهبك مدينة أخرى'
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D8%A3%D9%87%D8%A8%D9%83_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A3%D8%AE%D8%B1%D9%89_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9_%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9)"")","أحمد إبراهيم الفقيه
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%81%D9%82%D9%8A%D9%87"")"," ليبيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7"")"
"17
","أنا أحيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D9%86%D8%A7_%D8%A3%D8%AD%D9%8A%D8%A7"")","ليلى بعلبكي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%84%D9%89_%D8%A8%D8%B9%D9%84%D8%A8%D9%83%D9%8A"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"18
","لا أحد ينام في الإسكندرية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A7_%D8%A3%D8%AD%D8%AF_%D9%8A%D9%86%D8%A7%D9%85_%D9%81%D9%8A_%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9"")","إبراهيم عبد المجيد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%85%D8%AC%D9%8A%D8%AF"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"19
","الحب في المنفى
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%A8_%D9%81%D9%8A_%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89"")","بهاء طاهر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A8%D9%87%D8%A7%D8%A1_%D8%B7%D8%A7%D9%87%D8%B1"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"20
","مدارات الشرق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B4%D8%B1%D9%82"")","نبيل سليمان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%86%D8%A8%D9%8A%D9%84_%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"21
","الوباء
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","هاني الراهب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%87%D8%A7%D9%86%D9%8A_%D8%A7%D9%84%D8%B1%D8%A7%D9%87%D8%A8"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"22
","الحرام
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","يوسف ادريس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
