"الترتيب
","الرواية
","المؤلف
","البلد
"
"43
","الحي اللاتيني
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D9%8A_%D8%A7%D9%84%D9%84%D8%A7%D8%AA%D9%8A%D9%86%D9%8A_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","سهيل ادريس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%87%D9%8A%D9%84_%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"44
","عودة الروح
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D9%88%D8%AF%D8%A9_%D8%A7%D9%84%D8%B1%D9%88%D8%AD_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","توفيق الحكيم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%81%D9%8A%D9%82_%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"45
","الرهينة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D9%87%D9%8A%D9%86%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","زيد مطيع دماج
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B2%D9%8A%D8%AF_%D9%85%D8%B7%D9%8A%D8%B9_%D8%AF%D9%85%D8%A7%D8%AC"")"," اليمن
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%8A%D9%85%D9%86"")"
"46
","لعبة النسيان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%B9%D8%A8%D8%A9_%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D8%A7%D9%86"")","محمد برادة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A8%D8%B1%D8%A7%D8%AF%D8%A9"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"47
","الريح الشتوية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D9%8A%D8%AD_%D8%A7%D9%84%D8%B4%D8%AA%D9%88%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","مبارك الربيع
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%A7%D8%B1%D9%83_%D8%B1%D8%A8%D9%8A%D8%B9"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"48
","دار الباشا
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%A8%D8%A7%D8%B4%D8%A7_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","حسن نصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D9%86%D8%B5%D8%B1"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"49
","مدينة الرياح
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%AD_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","موسى ولد ابنو
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B3%D9%89_%D9%88%D9%84%D8%AF_%D8%A7%D8%A8%D9%86%D9%88"")"," موريتانيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D8%A7"")"
"50
","أبواب الروح السبعة
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A3%D8%A8%D9%88%D8%A7%D8%A8_%D8%A7%D9%84%D8%B1%D9%88%D8%AD_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9&action=edit&redlink=1"")","أيوب الحجلي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D9%8A%D9%88%D8%A8_%D8%A7%D9%84%D8%AD%D8%AC%D9%84%D9%8A"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"51
","أيام الإنسان السبعة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D9%8A%D8%A7%D9%85_%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","عبد الحكيم قاسم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85_%D9%82%D8%A7%D8%B3%D9%85"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"52
","طائر الحوم
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B7%D8%A7%D8%A6%D8%B1_%D8%A7%D9%84%D8%AD%D9%88%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","حليم بركات
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D9%84%D9%8A%D9%85_%D8%A8%D8%B1%D9%83%D8%A7%D8%AA"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"53
","حكاية زهرة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D9%83%D8%A7%D9%8A%D8%A9_%D8%B2%D9%87%D8%B1%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","حنان الشيخ
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D9%86%D8%A7%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"54
","ريح الجنوب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B1%D9%8A%D8%AD_%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","عبد الحميد بن هدوقة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%AF_%D8%A8%D9%86_%D9%87%D8%AF%D9%88%D9%82%D8%A9"")"," الجزائر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"")"
"55
","فردوس الجنون
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%81%D8%B1%D8%AF%D9%88%D8%B3_%D8%A7%D9%84%D8%AC%D9%86%D9%88%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","أحمد يوسف داوود
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D9%8A%D9%88%D8%B3%D9%81_%D8%AF%D8%A7%D9%88%D9%88%D8%AF"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"56
","وسمية تخرج من البحر
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D9%88%D8%B3%D9%85%D9%8A%D8%A9_%D8%AA%D8%AE%D8%B1%D8%AC_%D9%85%D9%86_%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","ليلى العثمان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%84%D9%89_%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86"")"," الكويت
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA"")"
"57
","اعترافات كاتم صوت
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D9%81%D8%A7%D8%AA_%D9%83%D8%A7%D8%AA%D9%85_%D8%B5%D9%88%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","مؤنس الرزاز
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%A4%D9%86%D8%B3_%D8%A7%D9%84%D8%B1%D8%B2%D8%A7%D8%B2"")"," الأردن
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86"")"
"58
","رباعية بحري
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B1%D8%A8%D8%A7%D8%B9%D9%8A%D8%A9_%D8%A8%D8%AD%D8%B1%D9%8A_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","محمد جبريل
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D8%A8%D8%B1%D9%8A%D9%84_(%D8%AA%D9%88%D8%B6%D9%8A%D8%AD)"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"59
","صنعاء مدينة مفتوحة
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B5%D9%86%D8%B9%D8%A7%D8%A1_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","محمد عبد الولي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%88%D9%84%D9%8A"")"," اليمن
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%8A%D9%85%D9%86"")"
"60
","ثلاثية غرناطة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9_%D8%BA%D8%B1%D9%86%D8%A7%D8%B7%D8%A9"")","رضوى عاشور
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B1%D8%B6%D9%88%D9%89_%D8%B9%D8%A7%D8%B4%D9%88%D8%B1"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"61
","دعاء الكروان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D8%B9%D8%A7%D8%A1_%D8%A7%D9%84%D9%83%D8%B1%D9%88%D8%A7%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","طه حسين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B7%D9%87_%D8%AD%D8%B3%D9%8A%D9%86"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"62
","فساد الامكنة
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D9%81%D8%B3%D8%A7%D8%AF_%D8%A7%D9%84%D8%A7%D9%85%D9%83%D9%86%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","صبري موسي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B5%D8%A8%D8%B1%D9%8A_%D9%85%D9%88%D8%B3%D9%89"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"63
","السقا مات
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%82%D8%A7_%D9%85%D8%A7%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","يوسف السباعي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%A7%D9%84%D8%B3%D8%A8%D8%A7%D8%B9%D9%8A"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"64
","تغريبه بني حتحوت
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%AA%D8%BA%D8%B1%D9%8A%D8%A8%D9%87_%D8%A8%D9%86%D9%8A_%D8%AD%D8%AA%D8%AD%D9%88%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","مجيد طوبيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%8A%D8%AF_%D8%B7%D9%88%D8%A8%D9%8A%D8%A7"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"65
","بعد الغروب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A8%D8%B9%D8%AF_%D8%A7%D9%84%D8%BA%D8%B1%D9%88%D8%A8_(%D9%83%D8%AA%D8%A7%D8%A8)"")","محمد عبد الحليم عبد الله
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%84%D9%8A%D9%85_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"66
","قلوب على الأسلاك
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%82%D9%84%D9%88%D8%A8_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%A7%D9%83"")","عبد السلام العجيلي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85_%D8%A7%D9%84%D8%B9%D8%AC%D9%8A%D9%84%D9%8A"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"67
","عائشة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A7%D8%A6%D8%B4%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","البشير بن سلامة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%B4%D9%8A%D8%B1_%D8%A8%D9%86_%D8%B3%D9%84%D8%A7%D9%85%D8%A9"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"68
","الظل والصدي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B8%D9%84_%D9%88%D8%A7%D9%84%D8%B5%D8%AF%D9%89_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","يوسف حبشي الأشقر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%AD%D8%A8%D8%B4%D9%8A_%D8%A7%D9%84%D8%A3%D8%B4%D9%82%D8%B1"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"69
","الدقلة في عراجينها
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AF%D9%82%D9%84%D8%A9_%D9%81%D9%8A_%D8%B9%D8%B1%D8%A7%D8%AC%D9%8A%D9%86%D9%87%D8%A7_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","بشير خريف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A8%D8%B4%D9%8A%D8%B1_%D8%AE%D8%B1%D9%8A%D9%81"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"70
","النخاس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%AE%D8%A7%D8%B3_(%D9%83%D8%AA%D8%A7%D8%A8)"")","صلاح الدين بوجاه
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B5%D9%84%D8%A7%D8%AD_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A8%D9%88%D8%AC%D8%A7%D9%87"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"71
","باب الساحة
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A8%D8%A7%D8%A8_%D8%A7%D9%84%D8%B3%D8%A7%D8%AD%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","سحر خليفة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D8%AD%D8%B1_%D8%AE%D9%84%D9%8A%D9%81%D8%A9"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
"72
","سابع ايام الخلق
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B3%D8%A7%D8%A8%D8%B9_%D8%A7%D9%8A%D8%A7%D9%85_%D8%A7%D9%84%D8%AE%D9%84%D9%82_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","عبد الخالق الركابي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AE%D8%A7%D9%84%D9%82_%D8%A7%D9%84%D8%B1%D9%83%D8%A7%D8%A8%D9%8A"")"," العراق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82"")"
"73
","شيء من الخوف
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B4%D9%8A%D8%A1_%D9%85%D9%86_%D8%A7%D9%84%D8%AE%D9%88%D9%81_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","ثروت أباظة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AB%D8%B1%D9%88%D8%AA_%D8%A3%D8%A8%D8%A7%D8%B8%D8%A9"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"74
","اللاز
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%84%D8%A7%D8%B2_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","الطاهر وطار
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B7%D8%A7%D9%87%D8%B1_%D9%88%D8%B7%D8%A7%D8%B1"")"," الجزائر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"")"
"75
","المرأة والوردة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9_%D9%88%D8%A7%D9%84%D9%88%D8%B1%D8%AF%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","محمد زفزاف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B2%D9%81%D8%B2%D8%A7%D9%81"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"76
","ألف عام وعام من الحنين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D9%81_%D8%B9%D8%A7%D9%85_%D9%88%D8%B9%D8%A7%D9%85_%D9%85%D9%86_%D8%A7%D9%84%D8%AD%D9%86%D9%8A%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","رشيد بوجدرة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B1%D8%B4%D9%8A%D8%AF_%D8%A8%D9%88%D8%AC%D8%AF%D8%B1%D8%A9"")"," الجزائر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"")"
"77
","القبر المجهول
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%82%D8%A8%D8%B1_%D8%A7%D9%84%D9%85%D8%AC%D9%87%D9%88%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","احمد بن عبد القادر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1"")"," موريتانيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D8%A7"")"
"78
","الاغتيال والغضب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A7%D8%BA%D8%AA%D9%8A%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%BA%D8%B6%D8%A8_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","موفق خضر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D9%88%D9%81%D9%82_%D8%AE%D8%B6%D8%B1"")"," العراق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82"")"
"79
","الدوامة
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D9%85%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","قمر كيلاني
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%82%D9%85%D8%B1_%D9%83%D9%8A%D9%84%D8%A7%D9%86%D9%8A"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"80
","الحصار
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D8%AD%D8%B5%D8%A7%D8%B1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","فوزية رشيد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%81%D9%88%D8%B2%D9%8A%D8%A9_%D8%B1%D8%B4%D9%8A%D8%AF"")"," البحرين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86"")"
"81
","في بيتنا رجل
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%81%D9%8A_%D8%A8%D9%8A%D8%AA%D9%86%D8%A7_%D8%B1%D8%AC%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","احسان عبد القدوس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D8%AD%D8%B3%D8%A7%D9%86_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%82%D8%AF%D9%88%D8%B3"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"82
","رموز عصرية
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B1%D9%85%D9%88%D8%B2_%D8%B9%D8%B5%D8%B1%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","خضير عبد الأمير
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AE%D8%B6%D9%8A%D8%B1_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1"")"," العراق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82"")"
"83
","ونصيبي من الافق
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D9%88%D9%86%D8%B5%D9%8A%D8%A8%D9%8A_%D9%85%D9%86_%D8%A7%D9%84%D8%A7%D9%81%D9%82_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","عبد القادر بن الشيخ
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1_%D8%A8%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"84
","مجنون الحكم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%86%D9%88%D9%86_%D8%A7%D9%84%D8%AD%D9%83%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","بنسالم حميش
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A8%D9%86%D8%B3%D8%A7%D9%84%D9%85_%D8%AD%D9%85%D9%8A%D8%B4"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"85
","الخماسية
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D8%AE%D9%85%D8%A7%D8%B3%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","إسماعيل فهد إسماعيل
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84_%D9%81%D9%87%D8%AF_%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84"")"," الكويت
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA"")"
"86
","أجنحة التيه
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A3%D8%AC%D9%86%D8%AD%D8%A9_%D8%A7%D9%84%D8%AA%D9%8A%D9%87_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","جواد الصيداوي
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D9%84%D8%B5%D9%8A%D8%AF%D8%A7%D9%88%D9%8A&action=edit&redlink=1"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
